ReturnID,OrderDetailID,OrderID,UserID,ProductID,Name,CategoryName,SubcategoryName,OrderDate,ReturnDate,ReturnedQuantity,UnitPrice,ReturnAmount,ReturnReason,ReturnStatus,SimulatedBonusData
RET000017,OD001193,ORD000406,USR00072,254,Premium Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-02-24,2020-03-06,3,10.49,31.47,Changed mind,Refunded,True
RET000018,OD001250,ORD000426,USR00077,26,Eco Swimwear,Fashion & Apparel,Swimwear,2020-04-11,2020-04-30,4,122.99,491.96,Changed mind,Refunded,True
RET000019,OD001774,ORD000605,USR00103,343,Deluxe Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-06-12,2020-07-10,1,176.0,176.0,Changed mind,Refunded,True
RET000020,OD001846,ORD000627,USR00107,356,Compact Haircare Products,Health & Beauty,Haircare Products,2020-12-17,2020-12-24,1,146.0,146.0,Product did not meet expectations,Refunded,True
RET000021,OD001891,ORD000640,USR00110,331,Premium Makeup & Cosmetics,Health & Beauty,Makeup & Cosmetics,2020-02-10,2020-02-13,4,133.99,535.96,Changed mind,Refunded,True
RET000022,OD001892,ORD000640,USR00110,445,Pro Oral Care,Health & Beauty,Oral Care,2020-02-10,2020-02-18,2,14.49,28.98,Changed mind,Refunded,True
RET000023,OD001906,ORD000644,USR00110,217,Premium Swimwear,Fashion & Apparel,Swimwear,2020-02-07,2020-03-02,1,120.79,120.79,Wrong size or fit,Refunded,True
RET000024,OD001974,ORD000666,USR00113,71,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-08-28,2020-09-25,2,36.49,72.98,Changed mind,Refunded,True
RET000025,OD001981,ORD000670,USR00114,60,Portable Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-01-10,2020-01-22,3,65.99,197.97,Product did not meet expectations,Refunded,True
RET000026,OD002143,ORD000722,USR00122,111,Ultra Formal Wear,Fashion & Apparel,Formal Wear,2020-07-28,2020-08-04,5,107.49,537.45,Changed mind,Refunded,True
RET000027,OD002245,ORD000763,USR00132,103,Compact Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-08-21,2020-09-11,4,162.79,651.16,Product did not meet expectations,Refunded,True
RET000028,OD002249,ORD000765,USR00132,145,Eco Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-11-18,2020-11-23,2,150.49,300.98,Product did not meet expectations,Refunded,True
RET000029,OD002277,ORD000773,USR00133,296,Ultra Formal Wear,Fashion & Apparel,Formal Wear,2020-09-01,2020-09-09,1,108.0,108.0,Product did not meet expectations,Refunded,True
RET000030,OD002356,ORD000800,USR00138,517,Premium Bath & Body Products,Health & Beauty,Bath & Body Products,2020-05-06,2020-05-19,6,46.49,278.94,Incorrect item received,Refunded,True
RET000031,OD002407,ORD000815,USR00141,31,Advanced Swimwear,Fashion & Apparel,Swimwear,2020-08-10,2020-08-24,2,150.79,301.58,Damaged item,Refunded,True
RET000032,OD002608,ORD000884,USR00150,283,Advanced T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,2020-12-14,2021-01-06,1,139.79,139.79,Changed mind,Refunded,True
RET000033,OD002619,ORD000889,USR00151,757,Compact Team Sports Equipment,Sports & Outdoors,Team Sports Equipment,2020-10-13,2020-11-10,3,175.79,527.37,Changed mind,Refunded,True
RET000034,OD002775,ORD000939,USR00158,732,Premium Bicycles & Accessories,Sports & Outdoors,Bicycles & Accessories,2020-04-11,2020-04-20,2,21.49,42.98,Product did not meet expectations,Refunded,True
RET000035,OD002787,ORD000943,USR00158,749,Portable Outdoor Apparel,Sports & Outdoors,Outdoor Apparel,2020-02-25,2020-03-01,1,176.49,176.49,Changed mind,Refunded,True
RET000036,OD002795,ORD000946,USR00159,188,Classic Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-11-12,2020-12-05,1,188.49,188.49,Damaged item,Refunded,True
RET000037,OD002807,ORD000950,USR00160,141,Advanced Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-08-20,2020-09-06,2,180.0,360.0,Wrong size or fit,Refunded,True
RET000038,OD002881,ORD000975,USR00166,708,Eco Kitchenware,Home & Living,Kitchenware,2020-05-17,2020-06-09,4,190.0,760.0,Changed mind,Refunded,True
RET000039,OD002973,ORD001009,USR00171,124,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-10-22,2020-11-18,1,149.0,149.0,Changed mind,Refunded,True
RET000040,OD002976,ORD001011,USR00172,251,Compact Swimwear,Fashion & Apparel,Swimwear,2020-07-20,2020-08-01,3,103.99,311.97,Changed mind,Refunded,True
RET000041,OD003157,ORD001080,USR00189,679,Ultra Home Fragrances,Home & Living,Home Fragrances,2020-04-28,2020-05-08,1,34.49,34.49,Incorrect item received,Refunded,True
RET000042,OD003162,ORD001081,USR00190,27,Compact Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-10-13,2020-10-19,3,21.49,64.47,Damaged item,Refunded,True
RET000043,OD003176,ORD001086,USR00190,276,Ultra Formal Wear,Fashion & Apparel,Formal Wear,2020-09-14,2020-10-08,2,75.49,150.98,Product did not meet expectations,Refunded,True
RET000044,OD003201,ORD001094,USR00193,582,Classic Skincare Products,Health & Beauty,Skincare Products,2020-04-15,2020-05-15,3,43.79,131.37,Changed mind,Refunded,True
RET000045,OD003209,ORD001096,USR00193,571,Premium Men's Grooming,Health & Beauty,Men's Grooming,2020-01-25,2020-01-29,3,10.99,32.97,Product did not meet expectations,Refunded,True
RET000046,OD003235,ORD001104,USR00194,212,Eco Outerwear,Fashion & Apparel,Outerwear,2020-06-13,2020-06-30,1,39.79,39.79,Incorrect item received,Refunded,True
RET000047,OD003246,ORD001107,USR00196,279,Portable Swimwear,Fashion & Apparel,Swimwear,2020-04-02,2020-04-08,1,109.0,109.0,Wrong size or fit,Refunded,True
RET000048,OD003259,ORD001114,USR00197,310,Compact Cameras & Photography,Technology & Gadgets,Cameras & Photography,2020-02-27,2020-03-21,2,87.99,175.98,Wrong size or fit,Refunded,True
RET000049,OD003275,ORD001119,USR00198,136,Advanced Swimwear,Fashion & Apparel,Swimwear,2020-03-11,2020-03-14,1,150.0,150.0,Incorrect item received,Refunded,True
RET000050,OD003285,ORD001121,USR00199,506,Premium Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-06-16,2020-07-11,3,82.0,246.0,Changed mind,Refunded,True
RET000051,OD003368,ORD001155,USR00205,775,Advanced Bicycles & Accessories,Sports & Outdoors,Bicycles & Accessories,2020-05-19,2020-06-12,1,170.79,170.79,Wrong size or fit,Refunded,True
RET000052,OD003370,ORD001155,USR00205,610,Premium Wellness Supplements,Health & Beauty,Wellness Supplements,2020-05-19,2020-06-09,9,147.49,1327.41,Changed mind,Refunded,True
RET000053,OD003403,ORD001166,USR00206,254,Premium Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-09-08,2020-10-04,9,10.49,94.41,Product did not meet expectations,Refunded,True
RET000054,OD003404,ORD001166,USR00206,197,Pro Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-09-08,2020-09-26,2,79.99,159.98,Changed mind,Refunded,True
RET000055,OD003473,ORD001189,USR00212,406,Deluxe Nail Care,Health & Beauty,Nail Care,2020-09-18,2020-10-13,4,95.49,381.96,Product did not meet expectations,Refunded,True
RET000056,OD003525,ORD001210,USR00217,166,Compact Activewear,Fashion & Apparel,Activewear,2020-07-09,2020-07-17,2,189.99,379.98,Wrong size or fit,Refunded,True
RET000057,OD003636,ORD001248,USR00225,246,Deluxe Activewear,Fashion & Apparel,Activewear,2020-12-07,2021-01-02,1,10.0,10.0,Changed mind,Refunded,True
RET000058,OD003758,ORD001290,USR00230,311,Advanced Wearable Devices,Technology & Gadgets,Wearable Devices,2020-10-31,2020-11-26,1,133.79,133.79,Product did not meet expectations,Refunded,True
RET000059,OD003971,ORD001367,USR00244,171,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-06-27,2020-07-20,1,113.99,113.99,Product did not meet expectations,Refunded,True
RET000060,OD004086,ORD001408,USR00257,185,Deluxe Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-10-26,2020-10-31,3,170.49,511.47,Changed mind,Refunded,True
RET000061,OD004089,ORD001408,USR00257,266,Pro Accessories,Fashion & Apparel,Accessories,2020-10-26,2020-11-03,1,185.0,185.0,Wrong size or fit,Refunded,True
RET000062,OD004216,ORD001452,USR00263,617,Portable Fragrances,Health & Beauty,Fragrances,2020-02-21,2020-02-26,4,99.79,399.16,Damaged item,Refunded,True
RET000063,OD004391,ORD001506,USR00275,299,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-12-07,2021-01-01,2,26.0,52.0,Changed mind,Refunded,True
RET000064,OD004562,ORD001561,USR00286,787,Eco Bicycles & Accessories,Sports & Outdoors,Bicycles & Accessories,2020-12-30,2021-01-21,3,66.0,198.0,Product did not meet expectations,Refunded,True
RET000065,OD004579,ORD001566,USR00287,265,Pro Swimwear,Fashion & Apparel,Swimwear,2020-03-26,2020-04-03,3,144.99,434.97,Product did not meet expectations,Refunded,True
RET000066,OD004739,ORD001620,USR00296,714,Premium Bedding & Linens,Home & Living,Bedding & Linens,2020-12-01,2020-12-13,8,108.49,867.92,Wrong size or fit,Refunded,True
RET000067,OD004751,ORD001624,USR00296,172,Compact Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-09-01,2020-09-08,1,126.79,126.79,Product did not meet expectations,Refunded,True
RET000068,OD004936,ORD001681,USR00306,624,Pro Bath & Body Products,Health & Beauty,Bath & Body Products,2020-12-13,2021-01-04,2,69.99,139.98,Incorrect item received,Refunded,True
RET000069,OD004988,ORD001698,USR00309,587,Advanced Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-12-13,2021-01-11,2,117.0,234.0,Wrong size or fit,Refunded,True
RET000070,OD005105,ORD001737,USR00315,246,Deluxe Activewear,Fashion & Apparel,Activewear,2020-03-09,2020-03-12,1,10.0,10.0,Changed mind,Refunded,True
RET000071,OD005177,ORD001764,USR00319,769,Eco Bicycles & Accessories,Sports & Outdoors,Bicycles & Accessories,2020-12-03,2020-12-25,1,66.0,66.0,Changed mind,Refunded,True
RET000072,OD005408,ORD001846,USR00334,184,Deluxe Outerwear,Fashion & Apparel,Outerwear,2020-05-07,2020-06-01,3,177.99,533.97,Damaged item,Refunded,True
RET000073,OD005409,ORD001846,USR00334,584,Advanced Bath & Body Products,Health & Beauty,Bath & Body Products,2020-05-07,2020-06-01,4,198.99,795.96,Product did not meet expectations,Refunded,True
RET000074,OD005414,ORD001848,USR00334,219,Pro Swimwear,Fashion & Apparel,Swimwear,2020-09-22,2020-09-30,2,89.99,179.98,Changed mind,Refunded,True
RET000075,OD005438,ORD001857,USR00336,235,Portable Swimwear,Fashion & Apparel,Swimwear,2020-09-09,2020-10-09,1,148.79,148.79,Changed mind,Refunded,True
RET000076,OD005569,ORD001896,USR00343,482,Deluxe Haircare Products,Health & Beauty,Haircare Products,2020-05-12,2020-06-09,2,153.99,307.98,Incorrect item received,Refunded,True
RET000077,OD005653,ORD001926,USR00351,420,Classic Bath & Body Products,Health & Beauty,Bath & Body Products,2020-01-21,2020-02-17,2,110.49,220.98,Product did not meet expectations,Refunded,True
RET000078,OD005668,ORD001932,USR00352,41,Advanced Accessories,Fashion & Apparel,Accessories,2020-03-26,2020-04-18,2,112.79,225.58,Product did not meet expectations,Refunded,True
RET000079,OD005679,ORD001935,USR00352,74,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-06-18,2020-06-27,1,58.99,58.99,Changed mind,Refunded,True
RET000080,OD005704,ORD001948,USR00355,269,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-07-20,2020-08-04,2,128.79,257.58,Damaged item,Refunded,True
RET000081,OD005765,ORD001968,USR00360,21,Advanced Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-09-05,2020-10-04,3,30.0,90.0,Product did not meet expectations,Refunded,True
RET000082,OD005833,ORD001991,USR00366,463,Premium Skincare Products,Health & Beauty,Skincare Products,2020-03-24,2020-04-17,1,104.0,104.0,Changed mind,Refunded,True
RET000083,OD005858,ORD002004,USR00367,95,Deluxe Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-06-15,2020-07-02,1,108.0,108.0,Changed mind,Refunded,True
RET000084,OD006074,ORD002075,USR00381,186,Advanced Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-10-12,2020-10-30,2,62.79,125.58,Wrong size or fit,Refunded,True
RET000085,OD006287,ORD002140,USR00395,180,Eco Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-04-18,2020-04-30,5,144.79,723.95,Damaged item,Refunded,True
RET000086,OD006459,ORD002199,USR00404,84,Eco Activewear,Fashion & Apparel,Activewear,2020-04-14,2020-05-14,1,74.49,74.49,Changed mind,Refunded,True
RET000087,OD006460,ORD002199,USR00404,715,Classic Decorative Items,Home & Living,Decorative Items,2020-04-14,2020-05-14,3,44.79,134.37,Changed mind,Refunded,True
RET000088,OD006648,ORD002272,USR00417,172,Compact Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-07-26,2020-08-08,1,126.79,126.79,Product did not meet expectations,Refunded,True
RET000089,OD006766,ORD002314,USR00427,309,Compact Laptops & Tablets,Technology & Gadgets,Laptops & Tablets,2020-01-30,2020-02-15,3,186.79,560.37,Incorrect item received,Refunded,True
RET000090,OD006769,ORD002315,USR00428,794,Portable Hiking & Trekking Gear,Sports & Outdoors,Hiking & Trekking Gear,2020-03-01,2020-03-08,3,32.99,98.97,Product did not meet expectations,Refunded,True
RET000091,OD006950,ORD002377,USR00437,556,Pro Fragrances,Health & Beauty,Fragrances,2020-04-24,2020-05-09,4,126.99,507.96,Product did not meet expectations,Refunded,True
RET000092,OD007169,ORD002454,USR00447,182,Ultra Outerwear,Fashion & Apparel,Outerwear,2020-10-26,2020-11-04,1,31.99,31.99,Changed mind,Refunded,True
RET000093,OD007190,ORD002462,USR00449,153,Compact Activewear,Fashion & Apparel,Activewear,2020-04-14,2020-05-03,2,132.49,264.98,Changed mind,Refunded,True
RET000094,OD007195,ORD002465,USR00449,15,Eco Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-11-02,2020-12-01,1,62.49,62.49,Damaged item,Refunded,True
RET000095,OD007243,ORD002478,USR00451,636,Classic Skincare Products,Health & Beauty,Skincare Products,2020-06-23,2020-07-21,1,50.0,50.0,Changed mind,Refunded,True
RET000096,OD007502,ORD002562,USR00466,268,Classic Swimwear,Fashion & Apparel,Swimwear,2020-05-25,2020-06-16,1,182.79,182.79,Changed mind,Refunded,True
RET000097,OD007640,ORD002608,USR00473,353,Classic Haircare Products,Health & Beauty,Haircare Products,2020-09-16,2020-10-15,3,113.0,339.0,Changed mind,Refunded,True
RET000098,OD007644,ORD002610,USR00473,597,Deluxe Nail Care,Health & Beauty,Nail Care,2020-02-03,2020-02-14,1,112.49,112.49,Wrong size or fit,Refunded,True
RET000099,OD007835,ORD002675,USR00486,96,Advanced Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-11-05,2020-11-21,9,45.0,405.0,Changed mind,Refunded,True
RET000100,OD007867,ORD002686,USR00489,264,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-10-21,2020-10-25,5,86.49,432.45,Damaged item,Refunded,True
RET000101,OD007920,ORD002701,USR00491,424,Premium Wellness Supplements,Health & Beauty,Wellness Supplements,2020-11-23,2020-12-15,2,148.99,297.98,Changed mind,Refunded,True
RET000102,OD007940,ORD002707,USR00491,18,Advanced Outerwear,Fashion & Apparel,Outerwear,2020-08-21,2020-09-10,3,173.79,521.37,Wrong size or fit,Refunded,True
RET000103,OD007943,ORD002707,USR00491,228,Eco T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,2020-08-21,2020-09-11,4,114.0,456.0,Wrong size or fit,Refunded,True
RET000104,OD008007,ORD002728,USR00497,121,Portable Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-05-07,2020-05-21,2,115.99,231.98,Changed mind,Refunded,True
RET000105,OD008038,ORD002738,USR00499,341,Advanced Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-11-02,2020-11-13,6,66.79,400.74,Damaged item,Refunded,True
RET000106,OD008062,ORD002746,USR00500,618,Classic Fragrances,Health & Beauty,Fragrances,2020-07-09,2020-07-27,1,157.99,157.99,Wrong size or fit,Refunded,True
RET000107,OD008096,ORD002754,USR00502,120,Advanced Activewear,Fashion & Apparel,Activewear,2020-12-13,2021-01-06,2,59.49,118.98,Product did not meet expectations,Refunded,True
RET000108,OD008296,ORD002823,USR00512,61,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-12-21,2021-01-07,1,44.0,44.0,Product did not meet expectations,Refunded,True
RET000109,OD008311,ORD002829,USR00513,545,Deluxe Makeup & Cosmetics,Health & Beauty,Makeup & Cosmetics,2020-08-10,2020-08-31,2,122.0,244.0,Product did not meet expectations,Refunded,True
RET000110,OD008322,ORD002834,USR00514,448,Pro Makeup & Cosmetics,Health & Beauty,Makeup & Cosmetics,2020-04-27,2020-05-26,1,118.49,118.49,Product did not meet expectations,Refunded,True
RET000111,OD008339,ORD002839,USR00516,133,Eco Outerwear,Fashion & Apparel,Outerwear,2020-04-28,2020-05-06,2,79.0,158.0,Wrong size or fit,Refunded,True
RET000112,OD008360,ORD002846,USR00517,391,Advanced Haircare Products,Health & Beauty,Haircare Products,2020-12-09,2020-12-23,1,30.99,30.99,Changed mind,Refunded,True
RET000113,OD008393,ORD002858,USR00519,461,Compact Fragrances,Health & Beauty,Fragrances,2020-12-29,2021-01-13,1,11.79,11.79,Changed mind,Refunded,True
RET000114,OD008493,ORD002892,USR00525,497,Eco Haircare Products,Health & Beauty,Haircare Products,2020-04-20,2020-05-06,2,157.0,314.0,Incorrect item received,Refunded,True
RET000115,OD008552,ORD002914,USR00529,380,Compact Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-06-30,2020-07-26,6,36.49,218.94,Product did not meet expectations,Refunded,True
RET000116,OD008622,ORD002937,USR00533,495,Pro Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-12-08,2020-12-30,2,32.49,64.98,Wrong size or fit,Refunded,True
RET000117,OD008655,ORD002951,USR00536,403,Premium Skincare Products,Health & Beauty,Skincare Products,2020-02-14,2020-02-24,2,122.0,244.0,Wrong size or fit,Refunded,True
RET000118,OD008676,ORD002958,USR00538,513,Premium Haircare Products,Health & Beauty,Haircare Products,2020-03-28,2020-04-04,3,190.49,571.47,Product did not meet expectations,Refunded,True
RET000119,OD008688,ORD002962,USR00538,390,Premium Skincare Products,Health & Beauty,Skincare Products,2020-04-18,2020-05-07,3,39.0,117.0,Changed mind,Refunded,True
RET000120,OD008750,ORD002985,USR00541,73,Portable Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2020-02-04,2020-02-08,1,17.49,17.49,Wrong size or fit,Refunded,True
RET000121,OD009157,ORD003118,USR00563,65,Eco Swimwear,Fashion & Apparel,Swimwear,2020-09-11,2020-10-10,3,101.99,305.97,Wrong size or fit,Refunded,True
RET000122,OD009158,ORD003118,USR00563,245,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-09-11,2020-10-07,2,185.49,370.98,Product did not meet expectations,Refunded,True
RET000123,OD009307,ORD003169,USR00572,242,Portable Activewear,Fashion & Apparel,Activewear,2020-08-20,2020-08-31,9,189.49,1705.41,Wrong size or fit,Refunded,True
RET000124,OD009425,ORD003202,USR00579,86,Advanced Activewear,Fashion & Apparel,Activewear,2020-03-29,2020-04-28,1,60.79,60.79,Damaged item,Refunded,True
RET000125,OD009436,ORD003207,USR00580,502,Pro Men's Grooming,Health & Beauty,Men's Grooming,2020-12-26,2021-01-16,3,65.79,197.37,Product did not meet expectations,Refunded,True
RET000126,OD009490,ORD003226,USR00584,151,Pro Formal Wear,Fashion & Apparel,Formal Wear,2020-07-30,2020-08-12,1,53.79,53.79,Product did not meet expectations,Refunded,True
RET000127,OD009514,ORD003234,USR00585,345,Eco Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-01-18,2020-02-06,3,119.49,358.47,Wrong size or fit,Refunded,True
RET000128,OD009515,ORD003235,USR00585,30,Deluxe Swimwear,Fashion & Apparel,Swimwear,2020-05-28,2020-06-18,2,150.0,300.0,Product did not meet expectations,Refunded,True
RET000129,OD009652,ORD003282,USR00595,162,Ultra Formal Wear,Fashion & Apparel,Formal Wear,2020-12-22,2021-01-15,3,14.99,44.97,Wrong size or fit,Refunded,True
RET000130,OD009672,ORD003286,USR00596,207,Ultra Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-04-12,2020-04-25,4,63.99,255.96,Product did not meet expectations,Refunded,True
RET000131,OD009676,ORD003287,USR00596,454,Advanced Beauty Tools & Brushes,Health & Beauty,Beauty Tools & Brushes,2020-07-05,2020-07-14,1,154.79,154.79,Product did not meet expectations,Refunded,True
RET000132,OD009776,ORD003319,USR00601,136,Advanced Swimwear,Fashion & Apparel,Swimwear,2020-04-19,2020-05-04,3,150.0,450.0,Changed mind,Refunded,True
RET000133,OD009780,ORD003319,USR00601,93,Portable Swimwear,Fashion & Apparel,Swimwear,2020-04-19,2020-05-12,4,87.0,348.0,Damaged item,Refunded,True
RET000134,OD009838,ORD003338,USR00607,741,Ultra Team Sports Equipment,Sports & Outdoors,Team Sports Equipment,2020-02-04,2020-02-28,2,120.79,241.58,Wrong size or fit,Refunded,True
RET000135,OD009950,ORD003372,USR00613,206,Pro Formal Wear,Fashion & Apparel,Formal Wear,2020-09-21,2020-10-20,3,174.0,522.0,Incorrect item received,Refunded,True
RET000136,OD009977,ORD003380,USR00615,151,Pro Formal Wear,Fashion & Apparel,Formal Wear,2020-03-03,2020-03-20,1,53.79,53.79,Changed mind,Refunded,True
RET000137,OD010125,ORD003427,USR00624,739,Premium Travel Accessories,Sports & Outdoors,Travel Accessories,2020-03-16,2020-03-26,2,50.79,101.58,Damaged item,Refunded,True
RET000138,OD010306,ORD003479,USR00634,690,Portable Wall Art,Home & Living,Wall Art,2020-08-17,2020-09-06,1,83.99,83.99,Damaged item,Refunded,True
RET000139,OD010367,ORD003502,USR00638,625,Ultra Skincare Products,Health & Beauty,Skincare Products,2020-01-12,2020-02-06,4,51.0,204.0,Changed mind,Refunded,True
RET000140,OD010377,ORD003505,USR00639,76,Ultra Outerwear,Fashion & Apparel,Outerwear,2020-01-12,2020-02-07,3,52.79,158.37,Wrong size or fit,Refunded,True
RET000141,OD010490,ORD003541,USR00646,268,Classic Swimwear,Fashion & Apparel,Swimwear,2020-10-23,2020-11-16,1,182.79,182.79,Changed mind,Refunded,True
RET000142,OD010499,ORD003543,USR00647,105,Deluxe Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-12-30,2021-01-22,1,145.49,145.49,Damaged item,Refunded,True
RET000143,OD010548,ORD003558,USR00649,619,Compact Wellness Supplements,Health & Beauty,Wellness Supplements,2020-09-14,2020-09-26,1,164.0,164.0,Changed mind,Refunded,True
RET000144,OD010582,ORD003569,USR00650,318,Portable Chargers & Power Banks,Technology & Gadgets,Chargers & Power Banks,2020-09-25,2020-10-23,1,160.0,160.0,Changed mind,Refunded,True
RET000145,OD010621,ORD003584,USR00653,477,Classic Haircare Products,Health & Beauty,Haircare Products,2020-04-20,2020-05-13,6,48.79,292.74,Product did not meet expectations,Refunded,True
RET000146,OD010645,ORD003592,USR00654,760,Portable Team Sports Equipment,Sports & Outdoors,Team Sports Equipment,2020-02-27,2020-03-26,1,23.99,23.99,Wrong size or fit,Refunded,True
RET000147,OD010650,ORD003594,USR00656,115,Premium Accessories,Fashion & Apparel,Accessories,2020-06-24,2020-07-03,5,22.49,112.45,Wrong size or fit,Refunded,True
RET000148,OD010733,ORD003621,USR00661,691,Pro Home Office Supplies,Home & Living,Home Office Supplies,2020-06-13,2020-06-20,4,42.0,168.0,Product did not meet expectations,Refunded,True
RET000149,OD010866,ORD003663,USR00667,30,Deluxe Swimwear,Fashion & Apparel,Swimwear,2020-07-30,2020-08-18,2,150.0,300.0,Changed mind,Refunded,True
RET000150,OD011178,ORD003772,USR00688,555,Portable Fragrances,Health & Beauty,Fragrances,2020-03-31,2020-04-25,1,29.0,29.0,Product did not meet expectations,Refunded,True
