UserID,Country,Continent,AgeGroup,IncomeGroup,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,Segment
USR00133,Canada,North America,35-44,50K-75K,48,5,5498.91,4,2,2,Potential Loyalists
USR00134,India,Asia,45-54,25K-50K,6,5,4725.13,4,2,2,Potential Loyalists
USR00135,China,Asia,25-34,25K-50K,178,1,2389.86,3,1,1,Needs Attention
USR00136,France,Europe,25-34,50K-75K,160,7,4665.28,3,3,2,Loyal Customers
USR00137,United Kingdom,Europe,35-44,25K-50K,288,5,5266.94,2,2,2,Hibernating
USR00138,Italy,Europe,25-34,25K-50K,104,9,9849.92,3,4,4,Champions
USR00139,India,Asia,35-44,25K-50K,344,4,7570.59,2,2,3,Hibernating
USR00140,United States,North America,45-54,25K-50K,938,7,10965.88,1,3,4,At Risk
USR00141,Germany,Europe,25-34,25K-50K,157,8,6691.0,3,3,3,Champions
USR00142,China,Asia,25-34,50K-75K,19,7,6730.28,4,3,3,Champions
USR00143,France,Europe,35-44,50K-75K,49,10,10058.900000000001,4,4,4,Champions
USR00144,France,Europe,25-34,50K-75K,825,1,1412.14,1,1,1,Hibernating
USR00145,Germany,Europe,35-44,50K-75K,22,9,9635.78,4,4,4,Champions
USR00146,United Kingdom,Europe,35-44,50K-75K,162,7,8294.380000000001,3,3,3,Champions
USR00147,Italy,Europe,25-34,25K-50K,125,5,7806.539999999999,3,2,3,Potential Loyalists
USR00148,Germany,Europe,18-24,25K-50K,69,7,8650.3,4,3,3,Champions
USR00149,Mexico,North America,35-44,50K-75K,458,10,6427.67,1,4,3,At Risk
USR00150,China,Asia,25-34,Up to 25K,49,9,8007.8,4,4,3,Champions
USR00151,United States,North America,35-44,50K-75K,208,7,9681.64,2,3,4,Loyal Customers
USR00152,Israel,Asia,35-44,Up to 25K,259,8,8645.27,2,3,3,Loyal Customers
USR00153,Germany,Europe,35-44,50K-75K,184,9,9679.25,3,4,4,Champions
USR00154,France,Europe,35-44,25K-50K,105,7,5357.83,3,3,2,Loyal Customers
USR00155,China,Asia,25-34,50K-75K,203,3,1596.39,2,1,1,Hibernating
USR00156,United Kingdom,Europe,35-44,50K-75K,319,10,15569.57,2,4,4,Loyal Customers
USR00157,France,Europe,45-54,50K-75K,652,6,9640.8,1,3,4,At Risk
USR00158,Germany,Europe,35-44,25K-50K,93,10,9113.880000000001,3,4,4,Champions
USR00159,Canada,North America,35-44,50K-75K,550,5,5275.71,1,2,2,Hibernating
USR00160,Canada,North America,35-44,50K-75K,1229,1,2233.11,1,1,1,Hibernating
USR00161,United States,North America,25-34,25K-50K,296,7,6033.58,2,3,3,Loyal Customers
USR00162,Israel,Asia,35-44,25K-50K,226,2,1938.76,2,1,1,Hibernating
USR00163,Israel,Asia,35-44,50K-75K,296,1,829.79,2,1,1,Hibernating
USR00164,Canada,North America,35-44,50K-75K,587,8,8684.11,1,3,3,At Risk
USR00165,Australia,Oceania,35-44,50K-75K,220,4,5022.97,2,2,2,Hibernating
USR00166,United States,North America,35-44,25K-50K,25,7,9603.44,4,3,4,Champions
USR00167,Spain,Europe,25-34,25K-50K,258,6,2989.48,2,3,1,Loyal Customers
USR00168,Spain,Europe,35-44,50K-75K,967,3,3911.1099999999997,1,1,2,Hibernating
USR00169,Australia,Oceania,35-44,25K-50K,156,9,12422.8,3,4,4,Champions
USR00170,United Kingdom,Europe,25-34,50K-75K,24,10,13197.59,4,4,4,Champions
USR00171,Australia,Oceania,25-34,25K-50K,501,3,2616.7400000000002,1,1,1,Hibernating
USR00172,China,Asia,35-44,50K-75K,505,2,592.96,1,1,1,Hibernating
USR00173,United States,North America,35-44,25K-50K,172,6,5853.32,3,3,2,Loyal Customers
USR00174,China,Asia,35-44,50K-75K,856,1,1165.41,1,1,1,Hibernating
USR00175,India,Asia,25-34,25K-50K,231,6,6276.05,2,3,3,Loyal Customers
USR00176,United States,North America,25-34,25K-50K,420,2,1733.1399999999999,1,1,1,Hibernating
USR00177,Australia,Oceania,25-34,50K-75K,168,6,4167.59,3,3,2,Loyal Customers
USR00178,Australia,Oceania,35-44,25K-50K,322,2,1643.82,2,1,1,Hibernating
USR00179,France,Europe,35-44,25K-50K,50,2,1804.58,4,1,1,Needs Attention
USR00180,France,Europe,35-44,50K-75K,136,1,1149.96,3,1,1,Needs Attention
USR00181,France,Europe,25-34,25K-50K,571,1,620.37,1,1,1,Hibernating
USR00182,Canada,North America,35-44,50K-75K,110,10,7952.89,3,4,3,Champions
USR00183,Israel,Asia,25-34,50K-75K,149,7,13298.81,3,3,4,Champions
USR00184,Israel,Asia,35-44,25K-50K,1398,1,1102.32,1,1,1,Hibernating
USR00185,China,Asia,25-34,25K-50K,214,7,8283.06,2,3,3,Loyal Customers
USR00186,Italy,Europe,35-44,50K-75K,14,9,10273.61,4,4,4,Champions
USR00187,India,Asia,45-54,50K-75K,866,1,2146.9,1,1,1,Hibernating
USR00188,Spain,Europe,18-24,25K-50K,1157,2,3063.77,1,1,1,Hibernating
USR00189,France,Europe,35-44,25K-50K,80,4,4804.3,4,2,2,Potential Loyalists
USR00190,Mexico,North America,25-34,25K-50K,657,6,9103.56,1,3,4,At Risk
USR00191,India,Asia,45-54,25K-50K,189,1,1141.56,3,1,1,Needs Attention
USR00192,China,Asia,35-44,50K-75K,173,6,4221.85,3,3,2,Loyal Customers
USR00193,Italy,Europe,35-44,25K-50K,574,6,11627.68,1,3,4,At Risk
USR00194,Australia,Oceania,45-54,50K-75K,33,6,5326.36,4,3,2,Loyal Customers
USR00195,Canada,North America,35-44,25K-50K,697,1,2613.79,1,1,1,Hibernating
USR00196,Brazil,South America,25-34,25K-50K,584,2,1784.05,1,1,1,Hibernating
USR00197,China,Asia,25-34,25K-50K,189,9,6456.21,3,4,3,Champions
USR00198,India,Asia,25-34,25K-50K,1086,2,2409.8999999999996,1,1,1,Hibernating
USR00199,Canada,North America,35-44,25K-50K,6,10,9351.720000000001,4,4,4,Champions
USR00200,United Kingdom,Europe,25-34,25K-50K,332,9,8442.41,2,4,3,Loyal Customers
USR00201,Israel,Asia,25-34,50K-75K,163,6,6164.66,3,3,3,Champions
USR00202,Germany,Europe,35-44,25K-50K,1017,2,1383.73,1,1,1,Hibernating
USR00203,France,Europe,35-44,50K-75K,985,2,1406.34,1,1,1,Hibernating
USR00204,Israel,Asia,25-34,25K-50K,141,2,495.14,3,1,1,Needs Attention
USR00205,Italy,Europe,35-44,25K-50K,286,7,7634.2,2,3,3,Loyal Customers
USR00206,Germany,Europe,35-44,25K-50K,18,10,11864.5,4,4,4,Champions
USR00207,United Kingdom,Europe,25-34,25K-50K,5,8,8817.17,4,3,3,Champions
USR00208,France,Europe,35-44,25K-50K,621,3,6982.73,1,1,3,Hibernating
USR00209,Spain,Europe,35-44,50K-75K,975,2,2250.86,1,1,1,Hibernating
USR00210,Australia,Oceania,25-34,50K-75K,519,2,2773.8999999999996,1,1,1,Hibernating
USR00211,Canada,North America,35-44,50K-75K,50,3,4673.77,4,1,2,Needs Attention
USR00212,Australia,Oceania,35-44,25K-50K,35,7,7109.14,4,3,3,Champions
USR00213,France,Europe,35-44,50K-75K,200,1,48.0,2,1,1,Hibernating
USR00214,Australia,Oceania,25-34,25K-50K,162,8,7432.45,3,3,3,Champions
USR00215,Germany,Europe,25-34,25K-50K,319,5,5666.79,2,2,2,Hibernating
USR00216,Brazil,South America,35-44,50K-75K,7,1,2355.92,4,1,1,Needs Attention
USR00217,Mexico,North America,25-34,50K-75K,244,10,11964.43,2,4,4,Loyal Customers
USR00218,Israel,Asia,35-44,50K-75K,544,4,4740.29,1,2,2,Hibernating
USR00219,Israel,Asia,18-24,50K-75K,625,5,9005.35,1,2,3,Hibernating
USR00220,United Kingdom,Europe,45-54,25K-50K,377,3,2011.46,2,1,1,Hibernating
USR00221,France,Europe,45-54,25K-50K,892,1,1709.9,1,1,1,Hibernating
USR00222,India,Asia,25-34,25K-50K,47,4,5627.94,4,2,2,Potential Loyalists
USR00223,India,Asia,35-44,50K-75K,743,1,1897.46,1,1,1,Hibernating
USR00224,Italy,Europe,35-44,50K-75K,219,10,8084.47,2,4,3,Loyal Customers
USR00225,Mexico,North America,35-44,25K-50K,236,6,5099.74,2,3,2,Loyal Customers
USR00226,United States,North America,35-44,50K-75K,32,9,10168.89,4,4,4,Champions
USR00227,Israel,Asia,35-44,50K-75K,14,9,11678.17,4,4,4,Champions
USR00228,Brazil,South America,25-34,25K-50K,141,5,5313.6900000000005,3,2,2,Potential Loyalists
USR00229,Spain,Europe,35-44,50K-75K,204,9,7993.23,2,4,3,Loyal Customers
USR00230,Italy,Europe,35-44,50K-75K,299,10,18523.91,2,4,4,Loyal Customers
USR00231,Australia,Oceania,35-44,25K-50K,297,4,3486.26,2,2,2,Hibernating
USR00232,United Kingdom,Europe,45-54,50K-75K,29,7,7119.76,4,3,3,Champions
USR00233,Australia,Oceania,35-44,50K-75K,287,4,2526.59,2,2,1,Hibernating
USR00234,United Kingdom,Europe,45-54,50K-75K,19,4,5419.89,4,2,2,Potential Loyalists
USR00235,India,Asia,35-44,75K+,332,3,2315.41,2,1,1,Hibernating
USR00236,United Kingdom,Europe,25-34,25K-50K,82,8,9039.34,4,3,4,Champions
USR00237,France,Europe,35-44,25K-50K,239,3,615.5500000000001,2,1,1,Hibernating
USR00238,Canada,North America,35-44,25K-50K,5,8,4244.73,4,3,2,Loyal Customers
USR00239,Canada,North America,45-54,50K-75K,633,10,5363.45,1,4,2,At Risk
USR00240,United States,North America,18-24,25K-50K,51,4,7232.1900000000005,4,2,3,Potential Loyalists
USR00241,Canada,North America,35-44,50K-75K,119,6,8393.28,3,3,3,Champions
USR00242,Israel,Asia,25-34,25K-50K,444,6,10396.39,1,3,4,At Risk
USR00243,China,Asia,25-34,50K-75K,701,1,2444.27,1,1,1,Hibernating
USR00244,United Kingdom,Europe,35-44,50K-75K,158,8,8660.289999999999,3,3,3,Champions
USR00245,United Kingdom,Europe,35-44,25K-50K,212,3,2037.3600000000001,2,1,1,Hibernating
USR00246,Brazil,South America,25-34,50K-75K,13,1,399.37,4,1,1,Needs Attention
USR00247,France,Europe,25-34,50K-75K,705,2,3081.36,1,1,1,Hibernating
USR00248,Australia,Oceania,35-44,50K-75K,139,6,3986.62,3,3,2,Loyal Customers
USR00249,Canada,North America,35-44,50K-75K,636,3,3807.4700000000003,1,1,2,Hibernating
USR00250,Brazil,South America,35-44,50K-75K,905,1,632.35,1,1,1,Hibernating
USR00251,Germany,Europe,35-44,50K-75K,1259,1,1122.84,1,1,1,Hibernating
USR00252,Mexico,North America,25-34,25K-50K,262,2,3043.4700000000003,2,1,1,Hibernating
USR00253,Brazil,South America,35-44,50K-75K,810,4,5705.6,1,2,2,Hibernating
USR00254,Spain,Europe,25-34,50K-75K,6,3,1877.71,4,1,1,Needs Attention
USR00255,Israel,Asia,35-44,50K-75K,467,7,8283.83,1,3,3,At Risk
USR00256,Israel,Asia,18-24,25K-50K,486,2,1756.8200000000002,1,1,1,Hibernating
USR00257,United States,North America,35-44,50K-75K,247,6,10710.150000000001,2,3,4,Loyal Customers
USR00258,China,Asia,25-34,50K-75K,288,8,9103.91,2,3,4,Loyal Customers
USR00259,United Kingdom,Europe,45-54,50K-75K,191,9,8437.83,3,4,3,Champions
USR00260,Italy,Europe,35-44,25K-50K,985,3,3970.79,1,1,2,Hibernating
USR00261,United States,North America,35-44,50K-75K,176,10,12513.08,3,4,4,Champions
USR00262,Italy,Europe,35-44,25K-50K,13,9,9373.47,4,4,4,Champions
USR00263,Italy,Europe,25-34,25K-50K,435,3,3851.0600000000004,1,1,2,Hibernating
USR00264,Canada,North America,45-54,50K-75K,319,3,5050.08,2,1,2,Hibernating
USR00265,Israel,Asia,25-34,25K-50K,343,8,9203.880000000001,2,3,4,Loyal Customers
USR00266,Mexico,North America,25-34,50K-75K,169,6,7761.33,3,3,3,Champions
USR00267,United States,North America,35-44,25K-50K,62,10,10158.52,4,4,4,Champions
USR00268,Israel,Asia,35-44,50K-75K,346,6,7186.030000000001,2,3,3,Loyal Customers
USR00269,France,Europe,35-44,50K-75K,278,1,1277.82,2,1,1,Hibernating
USR00270,United Kingdom,Europe,35-44,50K-75K,114,7,7971.64,3,3,3,Champions
USR00271,Brazil,South America,35-44,25K-50K,264,4,5383.24,2,2,2,Hibernating
USR00272,China,Asia,18-24,25K-50K,74,3,6801.91,4,1,3,Needs Attention
USR00273,Israel,Asia,35-44,50K-75K,649,1,1233.35,1,1,1,Hibernating
USR00274,Israel,Asia,45-54,25K-50K,220,4,3091.83,2,2,1,Hibernating
USR00275,Israel,Asia,45-54,50K-75K,281,6,9849.05,2,3,4,Loyal Customers
USR00276,United Kingdom,Europe,25-34,25K-50K,722,1,1625.26,1,1,1,Hibernating
USR00277,Spain,Europe,35-44,50K-75K,152,7,4974.01,3,3,2,Loyal Customers
USR00278,China,Asia,25-34,25K-50K,170,5,3638.2200000000003,3,2,2,Potential Loyalists
USR00279,Australia,Oceania,35-44,Up to 25K,74,4,5333.53,4,2,2,Potential Loyalists
USR00280,Israel,Asia,45-54,25K-50K,292,3,3389.29,2,1,2,Hibernating
USR00281,Australia,Oceania,35-44,50K-75K,14,2,1288.41,4,1,1,Needs Attention
USR00282,United States,North America,18-24,50K-75K,38,2,2865.7799999999997,4,1,1,Needs Attention
USR00283,Germany,Europe,18-24,50K-75K,352,3,4982.9,2,1,2,Hibernating
USR00284,Canada,North America,35-44,25K-50K,36,10,16688.02,4,4,4,Champions
USR00285,France,Europe,35-44,50K-75K,285,5,6085.5,2,2,3,Hibernating
USR00286,Brazil,South America,35-44,25K-50K,7,8,9480.8,4,3,4,Champions
USR00287,United States,North America,35-44,25K-50K,113,8,10852.66,3,3,4,Champions
USR00288,Brazil,South America,45-54,25K-50K,40,9,8594.32,4,4,3,Champions
USR00289,Spain,Europe,25-34,50K-75K,176,5,3283.56,3,2,2,Potential Loyalists
USR00290,Brazil,South America,25-34,25K-50K,40,8,9498.99,4,3,4,Champions
USR00291,Canada,North America,35-44,75K+,86,2,2870.83,4,1,1,Needs Attention
USR00292,Italy,Europe,35-44,50K-75K,874,3,1993.54,1,1,1,Hibernating
USR00293,Canada,North America,55-64,25K-50K,75,10,12779.55,4,4,4,Champions
USR00294,Italy,Europe,25-34,25K-50K,506,4,4283.83,1,2,2,Hibernating
USR00295,Mexico,North America,35-44,50K-75K,68,8,9613.12,4,3,4,Champions
USR00296,India,Asia,35-44,50K-75K,38,7,7528.82,4,3,3,Champions
USR00297,Canada,North America,25-34,25K-50K,336,1,3016.82,2,1,1,Hibernating
USR00298,Canada,North America,35-44,50K-75K,110,10,16376.03,3,4,4,Champions
USR00299,Italy,Europe,55-64,25K-50K,190,8,7331.7300000000005,3,3,3,Champions
USR00300,United States,North America,25-34,25K-50K,229,6,5652.7300000000005,2,3,2,Loyal Customers
USR00301,United States,North America,35-44,25K-50K,492,4,7826.719999999999,1,2,3,Hibernating
USR00302,United States,North America,35-44,50K-75K,18,4,4108.84,4,2,2,Potential Loyalists
USR00303,Italy,Europe,35-44,25K-50K,25,10,9984.33,4,4,4,Champions
USR00304,India,Asia,25-34,25K-50K,81,7,6680.75,4,3,3,Champions
USR00305,United States,North America,25-34,25K-50K,194,5,5646.6,3,2,2,Potential Loyalists
USR00306,India,Asia,35-44,50K-75K,565,5,4417.05,1,2,2,Hibernating
USR00307,Brazil,South America,25-34,25K-50K,179,4,2541.34,3,2,1,Potential Loyalists
USR00308,Italy,Europe,35-44,25K-50K,548,8,9694.4,1,3,4,At Risk
USR00309,France,Europe,35-44,50K-75K,411,4,7793.139999999999,2,2,3,Hibernating
USR00310,India,Asia,35-44,50K-75K,472,4,3114.88,1,2,1,Hibernating
USR00311,Spain,Europe,35-44,50K-75K,165,8,10077.810000000001,3,3,4,Champions
USR00312,Spain,Europe,35-44,50K-75K,245,9,9454.5,2,4,4,Loyal Customers
USR00313,Mexico,North America,25-34,25K-50K,434,3,7488.0599999999995,1,1,3,Hibernating
