ProductID,Name,Description,Price,StockQuantity,CategoryName,SubcategoryName,ModelName,ProductColor,ProductSize,SKU
23,Premium Bags & Backpacks,"Premium Bags & Backpacks - Color: Green, Size: S",161.0,151,Fashion & Apparel,Bags & Backpacks,Premium_Bags&Backpacks_S,Green,S,SKU-23-FA-BAG
24,Eco Bags & Backpacks,"Eco Bags & Backpacks - Color: Black, Size: L",50.79,91,Fashion & Apparel,Bags & Backpacks,Eco_Bags&Backpacks_L,Black,L,SKU-24-FA-BAG
25,Ultra Sneakers & Casual Shoes,"Ultra Sneakers & Casual Shoes - Color: Black, Size: M",88.99,170,Fashion & Apparel,Sneakers & Casual Shoes,Ultra_Sneakers&CasualShoes_M,Black,M,SKU-25-FA-SNE
26,Eco Swimwear,"Eco Swimwear - Color: White, Size: L",122.99,67,Fashion & Apparel,Swimwear,Eco_Swimwear_L,White,L,SKU-26-FA-SWI
27,Compact Sneakers & Casual Shoes,"Compact Sneakers & Casual Shoes - Color: Green, Size: S",21.49,128,Fashion & Apparel,Sneakers & Casual Shoes,Compact_Sneakers&CasualShoes_S,Green,S,SKU-27-FA-SNE
28,Advanced Bags & Backpacks,"Advanced Bags & Backpacks - Color: Green, Size: M",138.79,143,Fashion & Apparel,Bags & Backpacks,Advanced_Bags&Backpacks_M,Green,M,SKU-28-FA-BAG
29,Deluxe T-Shirts & Tops,"Deluxe T-Shirts & Tops - Color: Black, Size: XL",190.0,119,Fashion & Apparel,T-Shirts & Tops,Deluxe_T-Shirts&Tops_XL,Black,XL,SKU-29-FA-T-S
30,Deluxe Swimwear,"Deluxe Swimwear - Color: Red, Size: L",150.0,119,Fashion & Apparel,Swimwear,Deluxe_Swimwear_L,Red,L,SKU-30-FA-SWI
31,Advanced Swimwear,"Advanced Swimwear - Color: Gray, Size: M",150.79,183,Fashion & Apparel,Swimwear,Advanced_Swimwear_M,Gray,M,SKU-31-FA-SWI
32,Advanced Jeans & Trousers,"Advanced Jeans & Trousers - Color: Gray, Size: S",149.0,188,Fashion & Apparel,Jeans & Trousers,Advanced_Jeans&Trousers_S,Gray,S,SKU-32-FA-JEA
33,Premium Jeans & Trousers,"Premium Jeans & Trousers - Color: Blue, Size: L",196.49,47,Fashion & Apparel,Jeans & Trousers,Premium_Jeans&Trousers_L,Blue,L,SKU-33-FA-JEA
34,Compact Sneakers & Casual Shoes,"Compact Sneakers & Casual Shoes - Color: Gray, Size: XL",65.49,181,Fashion & Apparel,Sneakers & Casual Shoes,Compact_Sneakers&CasualShoes_XL,Gray,XL,SKU-34-FA-SNE
35,Eco Sneakers & Casual Shoes,"Eco Sneakers & Casual Shoes - Color: Red, Size: XL",54.49,62,Fashion & Apparel,Sneakers & Casual Shoes,Eco_Sneakers&CasualShoes_XL,Red,XL,SKU-35-FA-SNE
36,Compact Swimwear,"Compact Swimwear - Color: Red, Size: M",85.99,188,Fashion & Apparel,Swimwear,Compact_Swimwear_M,Red,M,SKU-36-FA-SWI
37,Classic Swimwear,"Classic Swimwear - Color: Black, Size: XL",47.79,173,Fashion & Apparel,Swimwear,Classic_Swimwear_XL,Black,XL,SKU-37-FA-SWI
38,Classic Bags & Backpacks,"Classic Bags & Backpacks - Color: Blue, Size: XL",127.0,113,Fashion & Apparel,Bags & Backpacks,Classic_Bags&Backpacks_XL,Blue,XL,SKU-38-FA-BAG
39,Portable Accessories,"Portable Accessories - Color: Red, Size: S",100.79,65,Fashion & Apparel,Accessories,Portable_Accessories_S,Red,S,SKU-39-FA-ACC
40,Deluxe Activewear,"Deluxe Activewear - Color: Black, Size: L",69.0,199,Fashion & Apparel,Activewear,Deluxe_Activewear_L,Black,L,SKU-40-FA-ACT
41,Advanced Accessories,"Advanced Accessories - Color: Blue, Size: XL",112.79,48,Fashion & Apparel,Accessories,Advanced_Accessories_XL,Blue,XL,SKU-41-FA-ACC
42,Premium Accessories,"Premium Accessories - Color: Green, Size: L",137.79,131,Fashion & Apparel,Accessories,Premium_Accessories_L,Green,L,SKU-42-FA-ACC
43,Premium Bags & Backpacks,"Premium Bags & Backpacks - Color: Black, Size: L",107.99,105,Fashion & Apparel,Bags & Backpacks,Premium_Bags&Backpacks_L,Black,L,SKU-43-FA-BAG
44,Classic Activewear,"Classic Activewear - Color: Red, Size: S",106.0,110,Fashion & Apparel,Activewear,Classic_Activewear_S,Red,S,SKU-44-FA-ACT
45,Ultra Jeans & Trousers,"Ultra Jeans & Trousers - Color: Blue, Size: S",82.99,72,Fashion & Apparel,Jeans & Trousers,Ultra_Jeans&Trousers_S,Blue,S,SKU-45-FA-JEA
46,Compact Accessories,"Compact Accessories - Color: Green, Size: XL",116.0,97,Fashion & Apparel,Accessories,Compact_Accessories_XL,Green,XL,SKU-46-FA-ACC
47,Pro Swimwear,"Pro Swimwear - Color: Red, Size: M",89.99,74,Fashion & Apparel,Swimwear,Pro_Swimwear_M,Red,M,SKU-47-FA-SWI
48,Portable Activewear,"Portable Activewear - Color: White, Size: XL",192.99,129,Fashion & Apparel,Activewear,Portable_Activewear_XL,White,XL,SKU-48-FA-ACT
49,Portable Bags & Backpacks,"Portable Bags & Backpacks - Color: Gray, Size: L",93.0,158,Fashion & Apparel,Bags & Backpacks,Portable_Bags&Backpacks_L,Gray,L,SKU-49-FA-BAG
50,Ultra Swimwear,"Ultra Swimwear - Color: Gray, Size: L",121.0,48,Fashion & Apparel,Swimwear,Ultra_Swimwear_L,Gray,L,SKU-50-FA-SWI
51,Ultra Swimwear,"Ultra Swimwear - Color: White, Size: L",119.49,178,Fashion & Apparel,Swimwear,Ultra_Swimwear_L,White,L,SKU-51-FA-SWI
52,Eco Outerwear,"Eco Outerwear - Color: White, Size: S",146.49,44,Fashion & Apparel,Outerwear,Eco_Outerwear_S,White,S,SKU-52-FA-OUT
53,Premium Formal Wear,"Premium Formal Wear - Color: Blue, Size: S",133.49,18,Fashion & Apparel,Formal Wear,Premium_FormalWear_S,Blue,S,SKU-53-FA-FOR
54,Portable Jeans & Trousers,"Portable Jeans & Trousers - Color: Gray, Size: L",12.79,87,Fashion & Apparel,Jeans & Trousers,Portable_Jeans&Trousers_L,Gray,L,SKU-54-FA-JEA
55,Ultra T-Shirts & Tops,"Ultra T-Shirts & Tops - Color: White, Size: S",147.0,91,Fashion & Apparel,T-Shirts & Tops,Ultra_T-Shirts&Tops_S,White,S,SKU-55-FA-T-S
56,Ultra Outerwear,"Ultra Outerwear - Color: Green, Size: M",150.49,58,Fashion & Apparel,Outerwear,Ultra_Outerwear_M,Green,M,SKU-56-FA-OUT
57,Eco Jeans & Trousers,"Eco Jeans & Trousers - Color: Blue, Size: XL",122.99,161,Fashion & Apparel,Jeans & Trousers,Eco_Jeans&Trousers_XL,Blue,XL,SKU-57-FA-JEA
58,Pro Activewear,"Pro Activewear - Color: Blue, Size: M",72.79,119,Fashion & Apparel,Activewear,Pro_Activewear_M,Blue,M,SKU-58-FA-ACT
59,Eco T-Shirts & Tops,"Eco T-Shirts & Tops - Color: White, Size: XL",31.0,197,Fashion & Apparel,T-Shirts & Tops,Eco_T-Shirts&Tops_XL,White,XL,SKU-59-FA-T-S
60,Portable Dresses & Skirts,"Portable Dresses & Skirts - Color: Green, Size: XL",65.99,38,Fashion & Apparel,Dresses & Skirts,Portable_Dresses&Skirts_XL,Green,XL,SKU-60-FA-DRE
61,Deluxe Sneakers & Casual Shoes,"Deluxe Sneakers & Casual Shoes - Color: White, Size: L",44.0,120,Fashion & Apparel,Sneakers & Casual Shoes,Deluxe_Sneakers&CasualShoes_L,White,L,SKU-61-FA-SNE
62,Compact Formal Wear,"Compact Formal Wear - Color: Gray, Size: S",136.99,98,Fashion & Apparel,Formal Wear,Compact_FormalWear_S,Gray,S,SKU-62-FA-FOR
63,Classic Swimwear,"Classic Swimwear - Color: Black, Size: XL",158.99,155,Fashion & Apparel,Swimwear,Classic_Swimwear_XL,Black,XL,SKU-63-FA-SWI
64,Eco Activewear,"Eco Activewear - Color: Gray, Size: S",142.79,185,Fashion & Apparel,Activewear,Eco_Activewear_S,Gray,S,SKU-64-FA-ACT
65,Eco Swimwear,"Eco Swimwear - Color: Blue, Size: S",101.99,190,Fashion & Apparel,Swimwear,Eco_Swimwear_S,Blue,S,SKU-65-FA-SWI
66,Advanced Dresses & Skirts,"Advanced Dresses & Skirts - Color: White, Size: S",155.49,112,Fashion & Apparel,Dresses & Skirts,Advanced_Dresses&Skirts_S,White,S,SKU-66-FA-DRE
67,Classic Accessories,"Classic Accessories - Color: White, Size: L",184.79,11,Fashion & Apparel,Accessories,Classic_Accessories_L,White,L,SKU-67-FA-ACC
68,Premium Outerwear,"Premium Outerwear - Color: Black, Size: XL",149.49,79,Fashion & Apparel,Outerwear,Premium_Outerwear_XL,Black,XL,SKU-68-FA-OUT
69,Classic Outerwear,"Classic Outerwear - Color: Red, Size: L",116.0,138,Fashion & Apparel,Outerwear,Classic_Outerwear_L,Red,L,SKU-69-FA-OUT
70,Compact Bags & Backpacks,"Compact Bags & Backpacks - Color: Gray, Size: S",76.49,47,Fashion & Apparel,Bags & Backpacks,Compact_Bags&Backpacks_S,Gray,S,SKU-70-FA-BAG
71,Deluxe Sneakers & Casual Shoes,"Deluxe Sneakers & Casual Shoes - Color: Black, Size: S",36.49,24,Fashion & Apparel,Sneakers & Casual Shoes,Deluxe_Sneakers&CasualShoes_S,Black,S,SKU-71-FA-SNE
72,Ultra Jeans & Trousers,"Ultra Jeans & Trousers - Color: Red, Size: M",166.99,192,Fashion & Apparel,Jeans & Trousers,Ultra_Jeans&Trousers_M,Red,M,SKU-72-FA-JEA
73,Portable Jeans & Trousers,"Portable Jeans & Trousers - Color: Blue, Size: L",17.49,54,Fashion & Apparel,Jeans & Trousers,Portable_Jeans&Trousers_L,Blue,L,SKU-73-FA-JEA
74,Classic Bags & Backpacks,"Classic Bags & Backpacks - Color: Black, Size: S",58.99,194,Fashion & Apparel,Bags & Backpacks,Classic_Bags&Backpacks_S,Black,S,SKU-74-FA-BAG
75,Portable Sneakers & Casual Shoes,"Portable Sneakers & Casual Shoes - Color: Blue, Size: XL",195.79,112,Fashion & Apparel,Sneakers & Casual Shoes,Portable_Sneakers&CasualShoes_XL,Blue,XL,SKU-75-FA-SNE
76,Ultra Outerwear,"Ultra Outerwear - Color: White, Size: S",52.79,197,Fashion & Apparel,Outerwear,Ultra_Outerwear_S,White,S,SKU-76-FA-OUT
77,Advanced Outerwear,"Advanced Outerwear - Color: White, Size: L",121.49,51,Fashion & Apparel,Outerwear,Advanced_Outerwear_L,White,L,SKU-77-FA-OUT
78,Advanced Jeans & Trousers,"Advanced Jeans & Trousers - Color: Green, Size: M",129.99,160,Fashion & Apparel,Jeans & Trousers,Advanced_Jeans&Trousers_M,Green,M,SKU-78-FA-JEA
79,Eco Swimwear,"Eco Swimwear - Color: Black, Size: XL",19.79,143,Fashion & Apparel,Swimwear,Eco_Swimwear_XL,Black,XL,SKU-79-FA-SWI
80,Advanced Outerwear,"Advanced Outerwear - Color: White, Size: M",15.49,120,Fashion & Apparel,Outerwear,Advanced_Outerwear_M,White,M,SKU-80-FA-OUT
81,Portable Formal Wear,"Portable Formal Wear - Color: Red, Size: M",121.79,81,Fashion & Apparel,Formal Wear,Portable_FormalWear_M,Red,M,SKU-81-FA-FOR
82,Premium Accessories,"Premium Accessories - Color: Blue, Size: L",198.79,125,Fashion & Apparel,Accessories,Premium_Accessories_L,Blue,L,SKU-82-FA-ACC
83,Classic Bags & Backpacks,"Classic Bags & Backpacks - Color: Gray, Size: XL",194.49,141,Fashion & Apparel,Bags & Backpacks,Classic_Bags&Backpacks_XL,Gray,XL,SKU-83-FA-BAG
84,Eco Activewear,"Eco Activewear - Color: White, Size: M",74.49,33,Fashion & Apparel,Activewear,Eco_Activewear_M,White,M,SKU-84-FA-ACT
85,Eco Activewear,"Eco Activewear - Color: Red, Size: M",71.49,72,Fashion & Apparel,Activewear,Eco_Activewear_M,Red,M,SKU-85-FA-ACT
86,Advanced Activewear,"Advanced Activewear - Color: Gray, Size: S",60.79,102,Fashion & Apparel,Activewear,Advanced_Activewear_S,Gray,S,SKU-86-FA-ACT
87,Deluxe Swimwear,"Deluxe Swimwear - Color: Red, Size: XL",185.99,167,Fashion & Apparel,Swimwear,Deluxe_Swimwear_XL,Red,XL,SKU-87-FA-SWI
88,Advanced Dresses & Skirts,"Advanced Dresses & Skirts - Color: White, Size: S",31.0,60,Fashion & Apparel,Dresses & Skirts,Advanced_Dresses&Skirts_S,White,S,SKU-88-FA-DRE
89,Classic Sneakers & Casual Shoes,"Classic Sneakers & Casual Shoes - Color: Green, Size: M",10.49,116,Fashion & Apparel,Sneakers & Casual Shoes,Classic_Sneakers&CasualShoes_M,Green,M,SKU-89-FA-SNE
90,Portable T-Shirts & Tops,"Portable T-Shirts & Tops - Color: Black, Size: M",23.49,98,Fashion & Apparel,T-Shirts & Tops,Portable_T-Shirts&Tops_M,Black,M,SKU-90-FA-T-S
91,Pro T-Shirts & Tops,"Pro T-Shirts & Tops - Color: Green, Size: M",97.0,74,Fashion & Apparel,T-Shirts & Tops,Pro_T-Shirts&Tops_M,Green,M,SKU-91-FA-T-S
92,Portable Outerwear,"Portable Outerwear - Color: Gray, Size: M",121.49,133,Fashion & Apparel,Outerwear,Portable_Outerwear_M,Gray,M,SKU-92-FA-OUT
93,Portable Swimwear,"Portable Swimwear - Color: Blue, Size: M",87.0,19,Fashion & Apparel,Swimwear,Portable_Swimwear_M,Blue,M,SKU-93-FA-SWI
94,Classic Activewear,"Classic Activewear - Color: Gray, Size: S",177.0,118,Fashion & Apparel,Activewear,Classic_Activewear_S,Gray,S,SKU-94-FA-ACT
95,Deluxe Bags & Backpacks,"Deluxe Bags & Backpacks - Color: Gray, Size: XL",108.0,159,Fashion & Apparel,Bags & Backpacks,Deluxe_Bags&Backpacks_XL,Gray,XL,SKU-95-FA-BAG
96,Advanced Jeans & Trousers,"Advanced Jeans & Trousers - Color: Red, Size: M",45.0,148,Fashion & Apparel,Jeans & Trousers,Advanced_Jeans&Trousers_M,Red,M,SKU-96-FA-JEA
97,Premium Swimwear,"Premium Swimwear - Color: White, Size: L",56.79,66,Fashion & Apparel,Swimwear,Premium_Swimwear_L,White,L,SKU-97-FA-SWI
98,Compact Swimwear,"Compact Swimwear - Color: Red, Size: S",30.99,83,Fashion & Apparel,Swimwear,Compact_Swimwear_S,Red,S,SKU-98-FA-SWI
99,Pro Jeans & Trousers,"Pro Jeans & Trousers - Color: White, Size: S",32.79,183,Fashion & Apparel,Jeans & Trousers,Pro_Jeans&Trousers_S,White,S,SKU-99-FA-JEA
100,Deluxe Accessories,"Deluxe Accessories - Color: Red, Size: M",38.49,61,Fashion & Apparel,Accessories,Deluxe_Accessories_M,Red,M,SKU-100-FA-ACC
101,Portable Bags & Backpacks,"Portable Bags & Backpacks - Color: Black, Size: L",18.0,146,Fashion & Apparel,Bags & Backpacks,Portable_Bags&Backpacks_L,Black,L,SKU-101-FA-BAG
102,Compact Accessories,"Compact Accessories - Color: Gray, Size: XL",108.0,56,Fashion & Apparel,Accessories,Compact_Accessories_XL,Gray,XL,SKU-102-FA-ACC
103,Compact Bags & Backpacks,"Compact Bags & Backpacks - Color: Blue, Size: XL",162.79,160,Fashion & Apparel,Bags & Backpacks,Compact_Bags&Backpacks_XL,Blue,XL,SKU-103-FA-BAG
104,Classic Dresses & Skirts,"Classic Dresses & Skirts - Color: White, Size: M",76.49,140,Fashion & Apparel,Dresses & Skirts,Classic_Dresses&Skirts_M,White,M,SKU-104-FA-DRE
105,Deluxe Bags & Backpacks,"Deluxe Bags & Backpacks - Color: Gray, Size: M",145.49,60,Fashion & Apparel,Bags & Backpacks,Deluxe_Bags&Backpacks_M,Gray,M,SKU-105-FA-BAG
106,Premium Dresses & Skirts,"Premium Dresses & Skirts - Color: Gray, Size: XL",96.49,14,Fashion & Apparel,Dresses & Skirts,Premium_Dresses&Skirts_XL,Gray,XL,SKU-106-FA-DRE
107,Compact Outerwear,"Compact Outerwear - Color: Red, Size: M",134.0,161,Fashion & Apparel,Outerwear,Compact_Outerwear_M,Red,M,SKU-107-FA-OUT
108,Portable Activewear,"Portable Activewear - Color: Gray, Size: XL",101.49,185,Fashion & Apparel,Activewear,Portable_Activewear_XL,Gray,XL,SKU-108-FA-ACT
109,Advanced Bags & Backpacks,"Advanced Bags & Backpacks - Color: Blue, Size: L",159.0,142,Fashion & Apparel,Bags & Backpacks,Advanced_Bags&Backpacks_L,Blue,L,SKU-109-FA-BAG
110,Ultra Activewear,"Ultra Activewear - Color: Green, Size: XL",43.49,183,Fashion & Apparel,Activewear,Ultra_Activewear_XL,Green,XL,SKU-110-FA-ACT
111,Ultra Formal Wear,"Ultra Formal Wear - Color: Black, Size: S",107.49,83,Fashion & Apparel,Formal Wear,Ultra_FormalWear_S,Black,S,SKU-111-FA-FOR
112,Classic Bags & Backpacks,"Classic Bags & Backpacks - Color: Green, Size: M",86.49,22,Fashion & Apparel,Bags & Backpacks,Classic_Bags&Backpacks_M,Green,M,SKU-112-FA-BAG
113,Premium Formal Wear,"Premium Formal Wear - Color: Green, Size: L",53.0,22,Fashion & Apparel,Formal Wear,Premium_FormalWear_L,Green,L,SKU-113-FA-FOR
114,Compact Outerwear,"Compact Outerwear - Color: Blue, Size: XL",75.0,121,Fashion & Apparel,Outerwear,Compact_Outerwear_XL,Blue,XL,SKU-114-FA-OUT
115,Premium Accessories,"Premium Accessories - Color: Gray, Size: S",22.49,96,Fashion & Apparel,Accessories,Premium_Accessories_S,Gray,S,SKU-115-FA-ACC
116,Classic Bags & Backpacks,"Classic Bags & Backpacks - Color: Gray, Size: S",127.49,128,Fashion & Apparel,Bags & Backpacks,Classic_Bags&Backpacks_S,Gray,S,SKU-116-FA-BAG
117,Compact Swimwear,"Compact Swimwear - Color: Green, Size: M",94.79,180,Fashion & Apparel,Swimwear,Compact_Swimwear_M,Green,M,SKU-117-FA-SWI
118,Compact Jeans & Trousers,"Compact Jeans & Trousers - Color: Black, Size: L",146.79,147,Fashion & Apparel,Jeans & Trousers,Compact_Jeans&Trousers_L,Black,L,SKU-118-FA-JEA
119,Eco Bags & Backpacks,"Eco Bags & Backpacks - Color: White, Size: M",79.79,199,Fashion & Apparel,Bags & Backpacks,Eco_Bags&Backpacks_M,White,M,SKU-119-FA-BAG
120,Advanced Activewear,"Advanced Activewear - Color: Gray, Size: M",59.49,61,Fashion & Apparel,Activewear,Advanced_Activewear_M,Gray,M,SKU-120-FA-ACT
121,Portable Dresses & Skirts,"Portable Dresses & Skirts - Color: Gray, Size: L",115.99,27,Fashion & Apparel,Dresses & Skirts,Portable_Dresses&Skirts_L,Gray,L,SKU-121-FA-DRE
122,Eco Accessories,"Eco Accessories - Color: Blue, Size: S",102.49,122,Fashion & Apparel,Accessories,Eco_Accessories_S,Blue,S,SKU-122-FA-ACC
123,Eco Activewear,"Eco Activewear - Color: Black, Size: S",17.79,146,Fashion & Apparel,Activewear,Eco_Activewear_S,Black,S,SKU-123-FA-ACT
124,Compact Jeans & Trousers,"Compact Jeans & Trousers - Color: Green, Size: S",149.0,166,Fashion & Apparel,Jeans & Trousers,Compact_Jeans&Trousers_S,Green,S,SKU-124-FA-JEA
125,Ultra Jeans & Trousers,"Ultra Jeans & Trousers - Color: Blue, Size: S",82.99,198,Fashion & Apparel,Jeans & Trousers,Ultra_Jeans&Trousers_S,Blue,S,SKU-125-FA-JEA
126,Classic Jeans & Trousers,"Classic Jeans & Trousers - Color: Blue, Size: L",169.0,43,Fashion & Apparel,Jeans & Trousers,Classic_Jeans&Trousers_L,Blue,L,SKU-126-FA-JEA
127,Portable Bags & Backpacks,"Portable Bags & Backpacks - Color: Black, Size: M",91.99,197,Fashion & Apparel,Bags & Backpacks,Portable_Bags&Backpacks_M,Black,M,SKU-127-FA-BAG
128,Premium T-Shirts & Tops,"Premium T-Shirts & Tops - Color: Blue, Size: S",18.49,137,Fashion & Apparel,T-Shirts & Tops,Premium_T-Shirts&Tops_S,Blue,S,SKU-128-FA-T-S
129,Ultra Accessories,"Ultra Accessories - Color: White, Size: L",136.79,17,Fashion & Apparel,Accessories,Ultra_Accessories_L,White,L,SKU-129-FA-ACC
130,Premium Outerwear,"Premium Outerwear - Color: White, Size: XL",86.49,56,Fashion & Apparel,Outerwear,Premium_Outerwear_XL,White,XL,SKU-130-FA-OUT
131,Pro Jeans & Trousers,"Pro Jeans & Trousers - Color: Black, Size: S",37.99,196,Fashion & Apparel,Jeans & Trousers,Pro_Jeans&Trousers_S,Black,S,SKU-131-FA-JEA
132,Ultra Jeans & Trousers,"Ultra Jeans & Trousers - Color: Black, Size: M",67.79,26,Fashion & Apparel,Jeans & Trousers,Ultra_Jeans&Trousers_M,Black,M,SKU-132-FA-JEA
133,Eco Outerwear,"Eco Outerwear - Color: Green, Size: L",79.0,173,Fashion & Apparel,Outerwear,Eco_Outerwear_L,Green,L,SKU-133-FA-OUT
134,Portable Dresses & Skirts,"Portable Dresses & Skirts - Color: Red, Size: S",135.79,137,Fashion & Apparel,Dresses & Skirts,Portable_Dresses&Skirts_S,Red,S,SKU-134-FA-DRE
135,Pro Swimwear,"Pro Swimwear - Color: Green, Size: L",173.79,121,Fashion & Apparel,Swimwear,Pro_Swimwear_L,Green,L,SKU-135-FA-SWI
136,Advanced Swimwear,"Advanced Swimwear - Color: White, Size: XL",150.0,129,Fashion & Apparel,Swimwear,Advanced_Swimwear_XL,White,XL,SKU-136-FA-SWI
137,Premium Bags & Backpacks,"Premium Bags & Backpacks - Color: Gray, Size: L",58.99,156,Fashion & Apparel,Bags & Backpacks,Premium_Bags&Backpacks_L,Gray,L,SKU-137-FA-BAG
138,Deluxe Outerwear,"Deluxe Outerwear - Color: Black, Size: L",62.0,143,Fashion & Apparel,Outerwear,Deluxe_Outerwear_L,Black,L,SKU-138-FA-OUT
139,Portable Activewear,"Portable Activewear - Color: Red, Size: XL",42.0,27,Fashion & Apparel,Activewear,Portable_Activewear_XL,Red,XL,SKU-139-FA-ACT
140,Eco T-Shirts & Tops,"Eco T-Shirts & Tops - Color: Blue, Size: S",86.99,93,Fashion & Apparel,T-Shirts & Tops,Eco_T-Shirts&Tops_S,Blue,S,SKU-140-FA-T-S
141,Advanced Sneakers & Casual Shoes,"Advanced Sneakers & Casual Shoes - Color: Blue, Size: S",180.0,12,Fashion & Apparel,Sneakers & Casual Shoes,Advanced_Sneakers&CasualShoes_S,Blue,S,SKU-141-FA-SNE
142,Classic Formal Wear,"Classic Formal Wear - Color: Black, Size: XL",30.79,173,Fashion & Apparel,Formal Wear,Classic_FormalWear_XL,Black,XL,SKU-142-FA-FOR
143,Eco Dresses & Skirts,"Eco Dresses & Skirts - Color: Blue, Size: M",135.0,17,Fashion & Apparel,Dresses & Skirts,Eco_Dresses&Skirts_M,Blue,M,SKU-143-FA-DRE
144,Deluxe Jeans & Trousers,"Deluxe Jeans & Trousers - Color: Blue, Size: L",158.99,37,Fashion & Apparel,Jeans & Trousers,Deluxe_Jeans&Trousers_L,Blue,L,SKU-144-FA-JEA
145,Eco Bags & Backpacks,"Eco Bags & Backpacks - Color: Black, Size: S",150.49,198,Fashion & Apparel,Bags & Backpacks,Eco_Bags&Backpacks_S,Black,S,SKU-145-FA-BAG
146,Ultra Outerwear,"Ultra Outerwear - Color: Gray, Size: M",50.99,31,Fashion & Apparel,Outerwear,Ultra_Outerwear_M,Gray,M,SKU-146-FA-OUT
